age,gender,race,income,credit_score,debt_ratio,years_employed,loan_approved
24,Male,White,49701,821,0.47,28,0
61,Male,Black,98300,563,0.41,3,1
45,Male,Hispanic,32674,738,0.15,7,1
53,Male,Hispanic,98560,745,0.18,16,0
43,Male,White,38874,773,0.15,29,1
44,Male,Black,58642,671,0.39,8,0
23,Female,White,80160,817,0.54,0,0
48,Female,White,32602,812,0.32,23,1
63,Male,Black,103801,445,0.18,19,0
23,Male,Black,40931,778,0.38,24,0
47,Male,Asian,109377,566,0.51,13,1
38,Female,Black,44192,701,0.47,10,1
61,Female,Hispanic,61542,594,0.54,20,0
54,Female,White,57520,789,0.24,2,1
30,Female,White,79772,795,0.2,8,1
64,Female,Hispanic,73762,442,0.54,26,1
60,Female,Black,65106,523,0.43,13,1
50,Female,Hispanic,96121,612,0.26,29,0
63,Female,Hispanic,40559,727,0.47,8,0
47,Female,Asian,48742,630,0.51,3,0
56,Male,Hispanic,84669,748,0.41,26,1
46,Male,White,95199,556,0.44,3,1
45,Male,Hispanic,36754,655,0.29,27,1
34,Male,White,18972,551,0.37,7,1
28,Female,White,85831,582,0.36,1,1
57,Female,White,56873,463,0.52,8,1
41,Male,Black,109661,573,0.52,28,1
22,Female,Asian,24903,740,0.52,13,0
29,Male,White,18020,669,0.11,21,0
37,Female,White,56755,806,0.47,8,1
35,Male,Black,100956,513,0.48,23,1
33,Female,White,101988,765,0.44,22,1
44,Female,Hispanic,60648,782,0.48,15,0
36,Male,Hispanic,24516,739,0.52,28,0
49,Female,Asian,17396,726,0.34,29,1
55,Male,White,99082,438,0.35,16,1
23,Male,Black,34129,584,0.16,15,0
53,Male,Hispanic,16591,724,0.29,29,0
44,Male,Black,26303,579,0.42,11,0
43,Female,Black,45561,490,0.49,2,0
46,Female,Hispanic,86719,741,0.21,10,1
43,Female,Black,107108,506,0.17,13,0
43,Male,Hispanic,101231,798,0.43,17,0
63,Female,Black,22314,527,0.1,20,1
27,Male,Hispanic,34623,657,0.19,20,0
36,Female,White,82675,629,0.11,4,0
64,Female,Asian,80082,500,0.18,15,0
58,Female,Hispanic,98624,510,0.19,19,1
54,Male,Hispanic,48130,598,0.29,4,0
29,Female,Asian,66756,606,0.3,2,1
26,Female,Hispanic,41292,526,0.54,11,1
60,Male,Hispanic,101206,613,0.36,0,0
25,Female,Black,84274,706,0.46,20,0
27,Male,Asian,17469,510,0.15,28,0
53,Female,White,68947,682,0.21,8,0
51,Male,Hispanic,37534,514,0.45,28,1
56,Male,Asian,78620,596,0.13,8,0
61,Female,Black,63874,761,0.34,3,0
37,Male,White,64708,535,0.4,2,0
34,Male,Asian,89553,818,0.4,16,1
63,Male,White,83344,539,0.11,1,0
51,Male,White,64138,569,0.26,23,0
40,Male,White,69302,539,0.42,0,1
38,Male,Hispanic,62638,456,0.17,7,1
40,Female,Hispanic,93249,519,0.45,12,0
49,Male,Black,17719,834,0.47,22,0
47,Male,Black,37890,716,0.59,14,0
58,Female,Asian,92236,776,0.2,7,0
47,Female,Black,51509,802,0.51,11,0
44,Female,White,57534,768,0.36,21,1
30,Female,White,107241,566,0.29,11,1
33,Female,Hispanic,33787,781,0.16,13,0
22,Female,White,63845,747,0.47,14,0
22,Female,Asian,72932,526,0.22,14,1
55,Male,White,107124,650,0.29,8,0
53,Male,White,106659,580,0.13,18,0
46,Female,Asian,48062,502,0.5,25,0
61,Male,Black,90713,513,0.48,19,0
22,Male,Black,102263,636,0.47,28,0
37,Male,Asian,75461,580,0.25,21,1
60,Female,Hispanic,90418,842,0.19,7,0
26,Female,White,81672,840,0.42,20,0
43,Male,Asian,49832,753,0.35,18,0
50,Female,White,46966,530,0.19,5,1
24,Male,Hispanic,87545,742,0.44,19,1
33,Male,White,27987,661,0.6,24,1
47,Male,Asian,52311,728,0.47,28,1
37,Male,White,46575,539,0.47,18,0
58,Female,Black,78852,704,0.58,3,1
43,Female,Hispanic,16007,792,0.2,22,0
50,Female,Hispanic,85981,547,0.38,6,0
35,Male,Hispanic,91242,767,0.59,27,1
49,Female,Asian,62517,702,0.18,27,1
26,Male,Hispanic,44257,440,0.45,3,1
51,Female,Black,102272,522,0.39,21,1
26,Male,Asian,57207,719,0.39,11,1
33,Male,Black,28281,765,0.45,12,0
37,Male,White,76246,741,0.56,2,1
47,Female,White,16435,849,0.49,21,1
47,Female,White,106357,554,0.13,11,1
42,Female,White,41660,658,0.53,1,0
60,Female,Black,20084,591,0.21,23,1
57,Male,Asian,97197,590,0.29,1,0
54,Female,Asian,28507,449,0.33,26,1
51,Female,Hispanic,87595,570,0.34,22,1
58,Male,Black,98807,741,0.32,8,0
44,Male,White,60539,730,0.57,0,1
31,Male,Black,22491,737,0.45,7,0
26,Female,Hispanic,65192,665,0.42,22,0
57,Male,Hispanic,95395,708,0.12,5,0
55,Male,Black,78888,480,0.55,5,1
52,Male,Black,88609,780,0.55,21,1
31,Female,Black,24077,763,0.49,24,1
40,Male,Asian,35953,739,0.1,17,0
53,Female,White,91919,801,0.13,16,1
22,Female,Black,82889,816,0.21,28,0
26,Male,Black,38821,458,0.17,11,1
25,Male,Black,52567,844,0.3,5,0
37,Female,Hispanic,39860,544,0.56,25,0
45,Male,Hispanic,36195,773,0.34,26,0
37,Male,Asian,92475,740,0.11,7,1
23,Female,White,105874,554,0.24,18,0
49,Female,Asian,102266,561,0.12,27,0
53,Male,White,36427,836,0.12,9,0
48,Female,Hispanic,42083,718,0.24,0,0
41,Male,Hispanic,102046,729,0.24,24,0
45,Male,Hispanic,72372,640,0.49,28,0
33,Male,Asian,59064,488,0.59,12,1
56,Female,Black,22813,708,0.29,16,1
54,Male,Black,46598,761,0.31,2,0
54,Male,Hispanic,108106,714,0.52,7,1
64,Male,Black,42082,578,0.23,13,1
58,Female,Black,44241,712,0.18,2,0
33,Female,Asian,59569,727,0.53,15,0
24,Female,White,26745,771,0.12,12,0
22,Female,Hispanic,41029,818,0.41,19,1
54,Female,Hispanic,28025,810,0.38,23,0
61,Male,Asian,29288,489,0.27,16,1
31,Female,Asian,104186,464,0.26,12,0
64,Female,Black,21540,594,0.49,28,1
50,Female,Hispanic,96958,676,0.14,5,0
34,Male,White,83878,593,0.22,16,0
33,Female,Asian,56846,728,0.47,13,1
52,Female,White,90932,573,0.37,16,1
23,Male,White,32482,581,0.16,29,1
56,Female,Hispanic,38411,543,0.54,7,1
44,Male,Hispanic,65975,595,0.3,10,1
38,Male,Asian,75545,583,0.51,19,1
47,Male,Hispanic,93797,439,0.49,27,0
29,Male,Hispanic,67307,514,0.41,0,1
50,Male,Hispanic,18093,569,0.35,25,0
47,Female,White,92258,527,0.59,6,0
31,Male,Asian,37042,782,0.17,20,1
47,Male,Black,67930,787,0.46,20,0
55,Female,White,59413,700,0.2,16,1
62,Male,Hispanic,108623,788,0.27,29,1
28,Female,White,48756,545,0.25,9,0
25,Female,Hispanic,68268,511,0.57,10,0
32,Female,Hispanic,54214,476,0.58,21,1
50,Male,White,96871,834,0.19,29,1
57,Male,Asian,43602,596,0.11,8,0
46,Male,Hispanic,68331,508,0.46,8,0
42,Female,Asian,63901,749,0.31,23,0
57,Male,Black,78416,678,0.14,4,0
31,Male,Hispanic,47196,735,0.44,16,1
58,Male,Asian,20626,473,0.37,8,1
30,Female,Asian,22424,521,0.59,16,1
45,Female,Black,27857,811,0.21,23,1
56,Male,Asian,34982,700,0.3,20,0
56,Male,Asian,91961,747,0.37,18,0
57,Male,Black,16980,822,0.5,26,1
